Atlas_Number,Entrances_Display_Name,Entrances_Number,Entrances_Type,Entrances_Position,Entrance_Summary,Entrances_Comments
0249,SC0249,2,Simple Gap,South,null,null
0252,SC0252,1,Simple Gap,East,null,null
0256,SC0256,1,Simple Gap,South,null,null
0257,SC0257,1,In-turned,North west,null,null
0258,SC0258,1,Simple Gap,South east,Through inner circuit,null
0258,SC0258,2,Simple Gap,South west,Through outermost circuit,null
0259,SC0259,1,Simple Gap,North,null,null
0259,SC0259,2,Simple Gap,South west,null,null
0260,SC0260,1,Simple Gap,South east,null,null
0262,SC0262,1,Simple Gap,South,null,null
0262,SC0262,2,Simple Gap,West,null,null
0265,SC0265,1,Simple Gap,North west,null,null
0267,SC0267,1,Simple Gap,North east,null,null
0268,SC0268,1,Simple Gap,East,null,null
0269,SC0269,1,Simple Gap,North east,null,null
0275,SC0275,1,Simple Gap,South west,null,null
0279,SC0279,1,Simple Gap,West,null,null
0280,SC0280,1,Simple Gap,North,null,null
0281,SC0281,1,Simple Gap,North east,null,null
0283,SC0283,1,Simple Gap,South,null,null
0285,SC0285,1,Passage-way/Corridor,South east,null,null
0286,SC0286,1,Passage-way/Corridor,North,null,null
0287,SC0287,1,Simple Gap,North west,"Supposedly protected by a hornwork, but more probably part of an outer defence or annex",null
0288,SC0288,1,Simple Gap,North east,null,null
0288,SC0288,2,Simple Gap,West,null,null
0290,SC0290,1,Simple Gap,South east,null,null
0292,SC0292,1,Simple Gap,South east,null,null
0293,SC0293,1,Simple Gap,South east,null,null
0295,SC0295,1,Simple Gap,South east,null,null
0296,SC0296,1,Simple Gap,South east,null,null
0298,SC0298,1,Simple Gap,South west,null,null
0300,SC0300,1,Simple Gap,North,null,null
0300,SC0300,2,Simple Gap,South,null,null
0301,SC0301,1,Simple Gap,West,null,null
0302,SC0302,1,Simple Gap,South west,null,null
0304,SC0304,1,Simple Gap,North east,Slight inturns noted by OS,null
0305,SC0305,1,Simple Gap,West,null,null
0306,SC0306,1,Simple Gap,North west,null,null
0308,SC0308,1,Simple Gap,South east,null,null
0309,SC0309,1,Simple Gap,East,null,null
0310,SC0310,1,Simple Gap,North west,null,null
0314,SC0314,1,Simple Gap,South east,null,null
0315,SC0315,1,Simple Gap,East,null,null
0316,SC0316,1,In-turned,North,Shallow inturned terminals,null
0316,SC0316,2,In-turned,West,Shallow inturned terminals,null
0318,SC0318,1,Simple Gap,South,null,null
0319,SC0319,1,Simple Gap,West,null,null
0324,SC0324,1,Passage-way/Corridor,North east,Approached obliquely by slightly hollowed trackway,null
0326,SC0326,1,Passage-way/Corridor,South west,null,null
0329,SC0329,1,Simple Gap,East,null,null
0331,SC0331,1,Simple Gap,North east,null,null
0331,SC0331,2,Simple Gap,South west,null,null
0333,SC0333,1,Simple Gap,North east,null,null
0334,SC0334,1,Simple Gap,North east,With hollowed track,null
0335,SC0335,1,Simple Gap,East,null,null
0337,SC0337,1,Passage-way/Corridor,South east,Sufficiently unusual that it may be a misinterpretation of other types of feature,null
0339,SC0339,1,Simple Gap,South west,null,null
0341,SC0341,1,Simple Gap,South west,null,null
0343,SC0343,1,Simple Gap,South west,null,null
0344,SC0344,1,Simple Gap,North east,Ditches broaden slightly to either side,null
0344,SC0344,2,Simple Gap,South west,Ditches broaden slightly to either side,null
0345,SC0345,1,Simple Gap,East,null,null
0349,EN0349,1,In-turned,East,Inward turn of outer bank midway along the E side of the bailey may represent the site of an original entrance or gate into the castle. Whether this is the site of an earlier entrance has not been determined.,null
0352,null,1,Simple Gap,null,"A terrace on the SE side has been suggested as an entrance ramp, but this is unclear. Simple gap default.",null
0355,EN0355,1,Simple Gap,South west,"Possible original entrance, but form not determined. Simple gap default.",null
0356,EN0356,1,Simple Gap,East,Entrance via a causeway c. 5m in width through the NE part of the defences.,null
0357,EN0357,1,In-turned,North east,Possible inturned and out-turned NE corner entrance.,null
0357,EN0357,1,Out-turned,North east,null,null
0358,EN0358,1,Simple Gap,South east,"Possible site of the main entrance. Form not determined, but simple gap conjecture.",null
0358,EN0358,2,Simple Gap,North west,"Possible simple entrance into the annexe on the NW, but unclear.",null
0359,EN0359,1,Simple Gap,South west,Possible entrance on the SW side. Form not determined. Simple gap default.,null
0361,EN0361,1,Simple Gap,South west,null,null
0362,EN0362,1,Simple Gap,North,Possible wide and unditched entrance.,null
0364,EN0364,1,In-turned,South west,Heavily inturned.,null
0364,EN0364,2,In-turned,North east,Heavily inturned,null
0367,EN0367,1,Simple Gap,South,Type not defined. Simple gap default.,null
0367,EN0367,2,In-turned,North,Traces only.,null
0367,EN0367,3,Simple Gap,North,Type not determined. Simple gap default.,null
0367,EN0367,4,Simple Gap,North,Type not determined. Simple gap default.,null
0368,EN0368,1,Simple Gap,North west,Type undefined. Midway along NW side (although doubtful). Simple gap default.,null
0368,EN0368,2,In-turned,South east,"Very strong inturns, on very steep slope.",null
0370,EN0370,1,Passage-way/Corridor,North,null,null
0371,EN0371,1,Simple Gap,West,Form not defined. Simple gap default.,null
0373,EN0373,1,Simple Gap,South,Form undefined. Simple gap default.,null
0373,EN0373,2,Simple Gap,North,Form undefined. Simple gap default.,null
0375,EN0375,1,In-turned,North,"Simple gap, 10m wide, with inturns and 15m passageway.",null
0375,EN0375,1,In-turned,South,S central entrance in interior simple gap 7m wide with inturns and 15m passageway.,null
0375,EN0375,2,Simple Gap,South,"S perimeter simple, slight offset gap, 10m wide.",null
0376,EN0376,1,Simple Gap,East,Well-defined re-entrant opening.,null
0378,EN0378,1,In-turned,South east,Possible central SE position. Revetted walls between inturns.,null
0378,EN0378,1,Passage-way/Corridor,South east,"40m passageway with revetted walls between inturns and evidence of timber bridge over,",null
0383,EN0383,1,Hollow Way,South,Possible site only.,null
0384,EN0384,1,Over-lapping,West,null,null
0386,EN0386,1,Hornwork,East,Flanked way 40m in length with external hornwork or façade.,null
0386,EN0386,1,Passage-way/Corridor,East,Flanked way 40m in length.,null
0386,EN0386,2,In-turned,North west,null,null
0386,EN0386,2,Other Forms,North west,Flanked by sub-rectangular platform externally upon which is circular mound.,null
0387,EN0387,1,Outworks,East,Significant outwork with causeway across ditch.,null
0387,EN0387,2,Passage-way/Corridor,West,Passage through ramparts with causeway across ditch.,null
0388,EN0388,1,Simple Gap,South east,Causewayed.,null
0388,EN0388,2,Blocked,South west,Blocked SW entrance visible as wide-topped section of rampart between two enlarged terminals.,null
0389,EN0389,1,Simple Gap,South,null,null
0390,EN0390,1,Simple Gap,North west,Entrance at NW angle.,null
0390,EN0390,1,In-turned,North west,N terminal bifurcated to give both an inturn and projecting hornwork.,null
0390,EN0390,1,Hornwork,North west,Projecting hornwork.,null
0391,EN0391,1,Over-lapping,North,Just traceable.,null
0392,EN0392,1,Simple Gap,South west,null,null
0392,EN0392,2,Simple Gap,North east,Ploughing masks detail.,null
0393,EN0393,1,Simple Gap,North,Simple gap 10m wide.,null
0393,EN0393,2,Hornwork,North,Simple gap c. 30m wide protected to N by simple external hornwork bank and ditch.,null
0394,EN0394,1,In-turned,East,Elaborate and complex.,null
0394,EN0394,2,Oblique,North,Oblique entrance.,null
0394,EN0394,3,Simple Gap,West,Break in the W may have been made to give access to the later sub-rectangular enclosure on that side.,null
0396,EN0396,1,In-turned,East,With outer bank or barbican.,null
0396,EN0396,1,Barbican,East,Protected by a outer bank or barbican.,null
0396,EN0396,2,Simple Gap,South east,Possible original entrance.,null
0397,EN0397,1,Simple Gap,South,null,null
0398,EN0398,1,Simple Gap,East,null,null
0399,EN0399,1,Simple Gap,East,Widened.,null
0400,EN0400,1,Simple Gap,North west,null,null
0401,EN0401,1,Simple Gap,West,Possibly not original.,null
0402,EN0402,1,Simple Gap,North east,Type estimated as site destroyed.,null
0403,EN0403,1,Simple Gap,North west,Causeway over ditch.,null
0404,EN0404,1,Simple Gap,East,null,null
0405,EN0405,1,Hornwork,East,null,null
0405,EN0405,2,Simple Gap,West,null,null
0406,EN0406,1,Hornwork,East,Approached by causeway and protected by hornwork or barbican.,null
0406,EN0406,1,Barbican,East,Protected by hornwork or barbican.,null
0406,EN0406,2,Blocked,West,Entrance at W end later blocked and now contains underground passage.,null
0407,EN0407,1,Simple Gap,North,null,null
0407,EN0407,2,Simple Gap,South east,null,null
0409,EN0409,1,Simple Gap,North east,Causewayed.,null
0410,EN0410,1,Simple Gap,North east,Damaged by later hollow way.,null
0410,EN0410,1,Outworks,North east,Ditch has outer bank 1m high running c. 60m on either side of entrance.,null
0410,EN0410,2,Simple Gap,South west,Damage by later trackway.,null
0411,EN0411,1,Oblique,North west,Offset 15m wide entrance with possible guard chamber.,null
0411,EN0411,1,Recesses/Guard Chambers,North west,Possible. Location and unusual morphology suggests possible guard chamber.,null
0411,EN0411,2,Oblique,East,Offset 7m wide.,null
0411,EN0411,3,Simple Gap,South east,20m wide.,null
0412,EN0412,1,Passage-way/Corridor,North east,Port Way passes through.,null
0412,EN0412,2,Passage-way/Corridor,South,Possible. Port Way passes through.,null
0413,EN0413,1,Simple Gap,South,At intersection of SW and SE sides.,null
0415,EN0415,1,Simple Gap,North west,null,null
0415,EN0415,2,Simple Gap,South east,null,null
0415,EN0415,2,Hollow Way,South east,Shown on Andrews and Dury's map of 1773 with a hollow way leading to it.,null
0416,EN0416,1,In-turned,East,Original with well-developed inturns.,null
0416,EN0416,2,Oblique,South,Possibly original staggered entrance formed by offset rampart terminals.,null
0416,EN0416,3,Passage-way/Corridor,North west,Possible only.,null
0417,EN0417,1,Simple Gap,North west,Outer enclosure.,null
0417,EN0417,2,Simple Gap,South east,Outer enclosure.,null
0417,EN0417,3,Oblique,South east,Offset entrance to inner enclosure.,null
0418,EN0418,1,Simple Gap,North,Minor road runs through gap.,null
0418,EN0418,2,Simple Gap,South,Minor road runs through gap.,null
0418,EN0418,3,Simple Gap,North west,"Second gap on NNW adjacent to that through which the road runs, possibly the original entrance gap.",null
0419,EN0419,1,Simple Gap,East,null,null
0419,EN0419,2,Simple Gap,West,null,null
0420,EN0420,1,Passage-way/Corridor,North,Located at N apex.,null
0420,EN0420,2,Simple Gap,South,In bank bisecting interior.,null
0420,EN0420,3,Simple Gap,South,In bank bisecting interior.,null
0421,EN0421,1,In-turned,North east,Part of outer double-portal entrance.,null
0421,EN0421,1,Other Forms,North east,"Middle rampart on NE two gaps, one original. Inner rampart has two NE gaps, originality not determined. Assumed gaps in middle and inner ramparts part of total entrance complex, but difficult to interpret.",null
0421,EN0421,1,Passage-way/Corridor,North east,Each has internally flanked carriageway c. 10m long.,null
0422,EN0422,1,Simple Gap,East,Possible entrance gap 10m wide.,null
0423,EN0423,1,Simple Gap,South east,null,null
0425,EN0425,1,In-turned,North east,Bank turns inwards to form funnel-shaped entrance.,null
0425,EN0425,2,In-turned,North west,Bank turns inwards to form funnel-shaped entrance.,null
0425,EN0425,3,Blocked,West,"Break at the W appears modern, but excavation suggests it may be a blocked early entrance.",null
0426,EN0426,1,Hornwork,East,Winding oblique entrance.,null
0426,EN0426,1,Hollow Way,East,"§0m wide, 1m deep.",null
0426,EN0426,1,Passage-way/Corridor,East,50m long.,null
0426,EN0426,2,Oblique,West,"W entrance and narrow covered hollow way, 290m long max. 6m deep, crossing ramparts obliquely.",null
0426,EN0426,2,Hollow Way,West,"W entrance and narrow covered way, 290m long max. 6m deep, crossing ramparts obliquely.",null
0426,EN0426,3,In-turned,North east,Possible only.,null
0426,EN0426,4,Simple Gap,South,Possible only. Badly mutilated.,null
0428,EN0428,1,Simple Gap,East,"Possible E, but no entrance type specified and simple gap default.",null
0429,EN0429,1,Simple Gap,South east,Possibly original. Causewayed.,null
0430,EN0430,1,Simple Gap,East,Causewayed entrance. Inner scarp of the bank appears to cross it.,null
0433,EN0433,1,Simple Gap,North east,"With causeway faces towards the outwork,",null
0433,EN0433,1,Outworks,North east,"Outwork 450m to the NE, with which it appears associated.",null
0433,EN0433,2,Oblique,South east,Askew entrance leading up from combe below.,null
0433,EN0433,2,Over-lapping,South east,Terraced track running up between staggered ramparts.,null
0434,EN0434,1,In-turned,East,Passageway with slight inturns.,null
0434,EN0434,1,Passage-way/Corridor,East,null,null
0434,EN0434,1,Recesses/Guard Chambers,East,"Two possible circular guard chambers, although these may be evidence of mining trials.",null
0434,EN0434,2,Simple Gap,South west,Possible site of entrance. Eroded with causeway.,null
0435,EN0435,1,In-turned,East,null,null
0435,EN0435,2,Simple Gap,South west,Possible original entrance,null
0436,EN0436,1,In-turned,South east,Much mutilated in centre of E side.,null
0436,EN0436,2,Simple Gap,West,Located at W apex.,null
0438,EN0438,1,In-turned,East,Slight inturns. 10m width.,null
0439,EN0439,1,Hollow Way,North,Deepest and broadest.,null
0439,EN0439,2,Hollow Way,South east,null,null
0439,EN0439,3,Hollow Way,South west,null,null
0440,EN0440,1,In-turned,South,Staggered entrance.,null
0440,EN0440,1,Over-lapping,South,Staggered.,null
0442,EN0442,1,Simple Gap,South,Type not defined. Simple gap default.,null
0443,EN0443,1,Passage-way/Corridor,South,9m wide passageway.,null
0445,EN0445,1,Simple Gap,East,Type not defined. Simple gap default.,null
0446,EN0446,1,Passage-way/Corridor,North east,Long causewayed approach.,null
0446,EN0446,1,Simple Gap,North east,4.5m gap.,null
0447,EN0447,1,Simple Gap,East,Possible entrance on the E disturbed by the barrow excavations. Type not defined. Simple gap default.,null
