Main_Atlas_Number,Main_Display_Name,Location_X,Location_Y,Density,Density_trans,Location_Current_County,Location_Historic_County,Location_Current_Parish
2007,"Black Point Rath, Pembrokeshire (Black Point; Black Scar Camp)",-568315,6763140,1.1190224086846694e-12,-3.8026907806738457,Pembrokeshire,Pembrokeshire,The Havens
2008,"Broadmoor Rath, Pembrokeshire (Foxes Holes: Millhaven Camp; Mill Haven Rath; Broadmoor)",-575065,6758301,1.0368975925106988e-12,-3.802745381187779,Pembrokeshire,Pembrokeshire,The Havens
2009,"Howney Stone Rath, Pembrokeshire (Howney Stone)",-574539,6758826,1.0435307643590466e-12,-3.8027408551104336,Pembrokeshire,Pembrokeshire,The Havens
2011,"Syke Rath, Pembrokeshire (Syke Castle; Wood Farm)",-565943,6755151,1.1349296378900642e-12,-3.802680548929138,Pembrokeshire,Pembrokeshire,Walwyn's Castle
2012,"Stradballymore, Waterford",-829145,6822453,2.891466067768319e-13,-3.8035147453013907,Waterford,Waterford,Stradballymore
2013,"Camp Field, Northumberland (Duddo)",-230538,7495500,3.0536871756322177e-12,-3.80185961423565,Northumberland,Northumberland,Duddo
2014,"Bill Law, Northumberland",-219455,7480030,2.826719331129241e-12,-3.8019316302416963,Northumberland,Northumberland,Doddington
2015,"South Berrington, Northumberland",-220228,7493428,2.8254941673701267e-12,-3.801932030363812,Northumberland,Northumberland,Kyloe
2017,"Old Castle, Milford, Pembrokeshire (Pill Rath; Old Castle Head)",-559231,6747689,1.192098056668311e-12,-3.802644628035459,Pembrokeshire,Pembrokeshire,Milford
2018,"Thornton Rath, Pembrokeshire",-560517,6751515,1.186945433043651e-12,-3.8026478128631127,Pembrokeshire,Pembrokeshire,Tiers Cross
2019,"West Popton Camp, Pembrokeshire (Fenny Coombe)",-559919,6744866,1.1781032234566959e-12,-3.8026533020517657,Pembrokeshire,Pembrokeshire,Hundleton
2020,"Martin's Haven, Pembrokeshire",-557575,6743881,1.1996731530030912e-12,-3.8026399642576822,Pembrokeshire,Pembrokeshire,Hundleton
2021,"Nw of Elwick, Northumberland",-204248,7485128,2.435321399645695e-12,-3.8020665365267345,Northumberland,Northumberland,Belford with Middleton
2022,"Fox Covert Camp, Northumberland",-217610,7477257,2.781681272520869e-12,-3.8019464238972787,Northumberland,Northumberland,Chatton
2023,"Mill Hill, Northumberland",-242108,7495054,3.281896542098701e-12,-3.8017910796631633,Northumberland,Northumberland,Duddo
2024,"North Heddon Moor, Northumberland (Foxes Knoll)",-221957,7459802,2.8420221764323437e-12,-3.80192664327566,Northumberland,Northumberland,Ilderton
2025,"Roseden Edge, Northumberland (The Ringle)",-218530,7457363,2.7531983592075036e-12,-3.801955871064729,Northumberland,Northumberland,Ilderton
