Main_Atlas_Number,Main_Display_Name
304,"Castle Hill, Dumfries & Galloway (Dalwhat)"
305,"Big Airds Hill, Dumfries & Galloway (Airds)"
306,"Airds, Dumfries & Galloway"
307,"Little Airds Hill, Dumfries & Galloway"
308,"Court Hill, Dumfries & Galloway (Ramshaw Wood)"
309,"Moyle Hill, Dumfries & Galloway (Barnbarroch; The Moyle)"
310,"Castlehill Point, West Barcloy, Dumfries & Galloway (Castle Point)"
311,"Port o' Warren, Dumfries & Galloway"
312,"Mote of Mark, Dumfries & Galloway (Rockcliffe)"
313,"Nethertown of Almorness, Dumfries & Galloway (Nethertown Cottages; Almorness Point; Cocklehaen)"
314,"Camp Hill, Dumfries & Galloway"
315,"Waterside, Dumfries & Galloway"
316,"Barr Hill, Dumfries & Galloway (Springholm)"
317,"Torkirra, Dumfries & Galloway (Tarkirra)"
318,"The Doons, Dumfries & Galloway"
319,"Green Island, Milton Loch, Dumfries & Galloway"
320,"Dinning, Dumfries & Galloway"
321,"Sundaywell, Dumfries & Galloway"
322,"Virginhall Plantation, Gallows Dike, Dumfries & Galloway (Virginhill Plantation)"
323,"Carronbridge, Bell Craig, Dumfries & Galloway"
324,"Grennan Hill, Dumfries & Galloway"
325,"Rosehill, Dumfries & Galloway"
326,"Tynron Doon, Dumfries & Galloway"
327,"Borron Hill, Dumfries & Galloway (Arbigland)"
328,"Kirkland Moat, Dumfries & Galloway"
329,"Ingleston Mote, Dumfries & Galloway"
330,"Hall Hill Mote, Dumfries & Galloway (Hallhill)"
331,"Beacon Hill, Dumfries & Galloway (Colstrand Fort)"
332,"Camp Hill, Trohoughton, Dumfries & Galloway"
333,"Castlehill, Dumfries & Galloway (Castle Hill)"
334,"Goldielea Wood, Dumfries & Galloway"
335,"Temple Wood, Dumfries & Galloway"
336,"Mullach, Dumfries & Galloway (Beacon Hill)"
337,"The Belt, Dumfries & Galloway"
338,"Longbank, Dumfries & Galloway"
339,"Castle Hill, Dumfries & Galloway"
340,"Burnhead, Dumfries & Galloway"
341,"Sour Hill, Dumfries & Galloway"
342,"Leffnoll, Dumfries & Galloway"
343,"Cults Loch, Dumfries & Galloway (Castle Kennedy House)"
344,"Kirkland Hill, Dumfries & Galloway"
345,"Springfield Hill, Dumfries & Galloway"
346,"Mcculloch's Castle, Dumfries & Galloway"
347,"Evening Bank Wood, Cumbria (Dacre)"
349,"Castle Frome, Herefordshire"
350,"Bomere Heath, Shropshire"
351,"Bomere Wood, Shropshire"
352,"Bwlch y Gwynt, Shropshire"
354,"Gelli Lwyd, Shropshire"
355,"Preston Springs, Shropshire"
356,"Ritton Castle, Shropshire"
357,"Stevenshill, Shropshire"
358,"Stockton Wood, Shropshire (Stocktonwood)"
359,"Woodhouse Farm, Shropshire"
361,"Grinsdale Camp, Cumbria (Skew Hill)"
362,"The Mount, Beoley, Worcestershire"
363,"Elmley Castle Earthworks, Worcestershire (Elmley Castle)"
364,"Wychbury Ring, Worcestershire (Wychbury Camp; Wychbury Hill Camp)"
365,"Harborough Hill, Churchill, Worcestershire"
366,"Church Coppice, Hanbury, Worcestershire"
367,"Woodbury, Great Witley, Worcestershire (Woodbury Hill)"
368,"Berrow Hill Camp, Martley, Worcestershire"
369,"Kempsey Promontory Fort, Worcestershire"
370,"Arley Wood Camp, Worcestershire"
371,"Castle Hill Camp, Bow Wood, Worcestershire"
373,"Berry Mound Camp, Worcestershire (Dane's Camp)"
374,"Tunnel Hill, Chadbury, Worcestershire"
375,"Conderton Camp, Worcestershire (Danes Camp)"
376,"Gadbury Bank, Worcestershire (Gadbury Camp)"
378,"Kemerton Camp, Bredon Hill, Worcestershire (Bredon Hill Camp)"
381,"Island Covert, Worcestershire"
383,"Drakelow, Worcestershire (Solcum Farm Promontory Fort, Wolverley)"
384,"Whitley Crag, Asby, Cumbria"
386,"Battlesbury Camp, Wiltshire"
387,"Barbury Castle, Wiltshire"
388,"Liddington Castle, Wiltshire (Badbury Camp)"
389,"Casterley Camp, Wiltshire (Catterley Banks)"
390,"Sidbury Camp, Wiltshire (Chidbury; Sidbury Hillfort)"
391,"Bilbury Rings, Wiltshire (Wylye Camp)"
392,"Grovely Castle, Wiltshire"
393,"Wick Ball Camp, Wiltshire"
394,"Yarnbury Castle, Wiltshire (Yarnbury Camp)"
395,"Broadbury Banks, Wiltshire"
396,"Oldbury Castle, Wiltshire (Oldbury Hill; Oldbury Camp)"
397,"Rybury Camp, Wiltshire"
398,"Oliver's Castle, Wiltshire (Oliver's Camp)"
399,"Ringsbury Camp, Wiltshire"
400,"Bury Hill Camp, Purton, Wiltshire"
401,"Odstock Copse, Wiltshire"
402,"Great Woodbury, Wiltshire"
403,"Clearbury Ring, Wiltshire"
404,"Ogbury Camp, Wiltshire"
405,"Figsbury Ring, Wiltshire (Chlorus' Camp)"
406,"Old Sarum, Wiltshire"
407,"Vespasian's Camp, Wiltshire"
408,"Chisenbury Camp, Wiltshire (Cissanbyrig; Chisenbury Trendle)"
409,"Giant's Grave, Wiltshire"
410,"Martinsell Hill Camp, Wiltshire (Martin's Hill; Martinsell)"
411,"Scratchbury Camp, Wiltshire (Scratchbury Hill)"
412,"Bratton Castle, Wiltshire (Bratton Camp)"
413,"Castle Hill, Blunsdon St Andrew, Wiltshire (Castle Hill, Swindon; Bury Blunsdon)"
415,"Chisbury Camp, Wiltshire (Chisbury)"
416,"Fosbury Camp, Wiltshire (Haydon Hill Castle; Knoll Ditches; Knolls Down)"
417,"Park Hill Camp, Wiltshire (Park Hill)"
418,"Kenwalch's Castle, Wiltshire (Castle Wood)"
419,"Castle Rings, Donhead St Mary, Wiltshire"
420,"Winklebury Camp, Wiltshire (Winkelbury; Winterburgh; Winter Camp)"
421,"White Sheet Castle, Wiltshire (Old Castle Hillfort; Whitesheet Hill; White Sheet Camp)"
422,"Cley Hill Camp, Wiltshire"
423,"Knook Castle, Wiltshire"
424,"Budbury, Wiltshire"
425,"Bury Wood Camp, Wiltshire (Bury Ditches; Bury Camp)"
426,"Castle Ditches, Tisbury, Wiltshire (Spelsbury; Wilburge)"
427,"Ebsbury Hill, Wiltshire (Grovely Earthworks)"
428,"Nuns Walk, Malmesbury., Wiltshire"
429,"Chiselbury, Wiltshire"
430,"Nash Hill, Wiltshire (Naish Hill)"
431,"Codford Circle, Wiltshire (Oldbury Camp; Wilsbury Ring; Woldsbury)"
433,"Trendle Ring, Somerset (Bicknoller Hill)"
434,"Dowsborough Camp, Somerset (Dowsborough Castle Hill; Danesborough; Dawesbury)"
435,"Elworthy Barrows, Somerset"
436,"Clatworthy Camp, Somerset (Clatworthy Castle; Clatworthy Hillfort)"
437,"Curdon Wood Camp, Somerset (Curdon)"
438,"The Castles, Bathealton, Somerset (Castles Camp)"
439,"Norton Camp, Somerset (Norton Fitzwarren Hillfort)"
440,"King's Castle, Somerset (Castle Hill, Wivelscombe)"
441,"Ilchester Mead, Somerset (The Oppidum)"
442,"Bounds Lane, Somerset"
443,"Whitestaunton Camp, Somerset (Horse Pool Copse; Horse Pool Camp; Southay Camp; Harbury; Hamberry; Whitestanton Camp)"
444,"Knapp Copse, Somerset"
445,"Dundon Hill Camp, Somerset (Compton Dundon Hillfort)"
446,"Milborne Wick, Somerset (Burrow Hill)"
447,"Westwood, Somerset (West Wood Hillfort)"
448,"Ham Hill, Somerset (Hamdon Hill Camp)"
449,"Brean Down Camp, Somerset"
450,"Ruborough Camp, Somerset (Roberrow; Roborough; Roborough)"
451,"Rooks Castle, Somerset"
